"date,category,amount,payment_mode,description"
"2026-03-01,Food,250,UPI,Lunch at cafe"
"2026-03-01,Transport,80,Cash,Auto fare"
"2026-03-02,Shopping,1200,Card,Clothes purchase"
"2026-03-02,Food,300,UPI,Dinner"
"2026-03-03,Bills,1500,Online,Electricity bill"
"2026-03-03,Entertainment,400,UPI,Movie tickets"
"2026-03-04,Food,200,Cash,Snacks"
"2026-03-04,Transport,150,UPI,Cab ride"
"2026-03-05,Shopping,700,Card,Amazon order"
"2026-03-05,Food,350,UPI,Restaurant dinner"
"2026-03-06,Bills,800,Online,Internet bill"
"2026-03-06,Entertainment,600,Card,Concert ticket"
"2026-03-07,Food,180,Cash,Breakfast"
"2026-03-07,Transport,120,UPI,Metro card recharge"
"2026-03-08,Health,500,Card,Medicines"
"2026-03-08,Food,220,UPI,Lunch"
"2026-03-09,Shopping,950,Card,Shoes"
"2026-03-09,Entertainment,300,UPI,Game recharge"
"2026-03-10,Bills,2000,Online,Rent"
"2026-03-10,Food,400,UPI,Dinner with friends"
"2026-03-11,Transport,90,Cash,Bus fare"
"2026-03-11,Health,700,Card,Doctor visit"
"2026-03-12,Food,260,UPI,Lunch"
"2026-03-12,Shopping,400,Card,Groceries"
"2026-03-13,Entertainment,500,UPI,Netflix yearly share"
"2026-03-13,Food,300,Cash,Dinner"
"2026-03-14,Transport,200,UPI,Cab ride"
"2026-03-14,Bills,1000,Online,Water bill"
